연령대분류,교육수준분류,사업농업소득,자본이득소득,연령,금융위험감수,저축여부,급여소득,금융위험회피,교육수준,가구주성별,결혼상태,자녀수,직업분류1,MMMF,CDS,NMMF,STOCKS,RETQLIQ
2,3,0.0,0.0,36,0,1,0.0,1,10,2,2,0,4,0,0,0,0,0
3,2,0.0,0.0,53,0,1,10809.118236,1,8,2,2,0,1,0,0,0,0,0
3,2,0.0,0.0,53,0,1,10809.118236,1,8,2,2,0,1,0,0,0,0,0
3,2,0.0,0.0,53,0,1,10809.118236,1,8,2,2,0,1,0,0,0,0,0
3,2,0.0,0.0,53,0,1,10809.118236,1,8,2,2,0,1,0,0,0,0,0
3,2,0.0,0.0,53,0,1,10809.118236,1,8,2,2,0,1,0,0,0,0,0
6,4,0.0,1059.2935872,81,0,2,0.0,0,12,2,2,1,3,0,1,0,1,1
6,4,0.0,5080.2855711,81,0,2,0.0,0,12,2,2,1,3,0,1,0,1,1
6,4,0.0,4647.9208417,81,0,2,0.0,0,12,2,2,1,3,0,1,0,1,1
6,4,0.0,3999.3737475,81,0,2,0.0,0,12,2,2,1,3,0,1,0,1,1
6,4,0.0,972.82064128,81,0,2,0.0,0,12,2,2,1,3,0,1,0,1,1
4,3,86472.945892,0.0,61,0,3,0.0,1,9,2,2,0,2,0,0,0,0,0
4,3,86472.945892,0.0,61,0,3,0.0,1,9,2,2,0,2,0,0,0,0,0
4,3,86472.945892,0.0,61,0,3,0.0,1,9,2,2,0,2,0,0,0,0,0
4,3,86472.945892,0.0,61,0,3,0.0,1,9,2,2,0,2,0,0,0,0,0
4,3,86472.945892,0.0,61,0,3,0.0,1,9,2,2,0,2,0,0,0,0,0
4,4,977144.28858,-3242.735471,55,1,1,46479.208417,0,12,1,1,1,2,0,0,1,1,1
4,4,977144.28858,-3242.735471,55,1,1,45398.296593,0,12,1,1,1,2,0,0,1,1,1
4,4,977144.28858,-3242.735471,55,1,1,45398.296593,0,12,1,1,1,2,0,0,1,1,1
4,4,977144.28858,-3242.735471,55,1,1,45398.296593,0,12,1,1,1,2,0,0,1,1,1
4,4,977144.28858,-3242.735471,55,1,1,46479.208417,0,12,1,1,1,2,0,0,1,1,1
4,4,4193937.8758,1232239.479,61,0,3,0.0,0,12,1,1,0,2,0,0,1,1,1
4,4,4647920.8417,1113339.1784,61,0,3,0.0,0,12,1,1,0,2,0,0,1,1,1
4,4,4647920.8417,1002005.2605,61,0,3,0.0,0,12,1,1,0,2,0,0,1,1,1
4,4,4647920.8417,1080911.8236,61,0,3,0.0,0,12,1,1,0,2,0,0,1,1,1
4,4,4064228.4569,1232239.479,61,0,3,0.0,0,12,1,1,0,2,0,0,1,1,1
4,4,0.0,0.0,56,0,3,281037.07415,0,12,1,1,3,1,0,0,0,1,1
4,4,0.0,0.0,56,0,3,281037.07415,0,12,1,1,3,1,1,0,0,1,1
4,4,0.0,0.0,56,0,3,281037.07415,0,12,1,1,3,1,0,0,0,1,1
4,4,0.0,0.0,56,0,3,281037.07415,0,12,1,1,3,1,1,0,0,1,1
4,4,0.0,0.0,56,0,3,281037.07415,0,12,1,1,3,1,0,0,0,1,1
2,4,12970.941884,0.0,39,0,3,241043.33667,0,14,1,1,2,1,0,0,0,1,0
2,4,12970.941884,0.0,39,0,3,243205.16032,0,14,1,1,2,1,0,0,0,1,0
2,4,12970.941884,0.0,39,0,3,249690.63126,0,14,1,1,2,1,0,0,0,1,0
2,4,12970.941884,0.0,39,0,3,242124.2485,0,14,1,1,2,1,0,0,0,1,0
2,4,12970.941884,0.0,39,0,3,219425.1002,0,14,1,1,2,1,0,0,0,1,0
3,2,0.0,0.0,50,0,1,0.0,1,8,2,1,5,4,0,0,0,0,0
3,2,0.0,0.0,50,0,1,0.0,1,8,2,1,5,4,0,0,0,0,0
3,2,0.0,0.0,50,0,1,0.0,1,8,2,1,5,4,0,0,0,0,0
3,2,0.0,0.0,50,0,1,0.0,1,8,2,1,5,4,0,0,0,0,0
3,2,0.0,0.0,50,0,1,0.0,1,8,2,1,5,4,0,0,0,0,0
4,4,162136.77355,0.0,57,0,3,135113.97796,0,12,1,1,0,2,0,1,0,0,1
4,4,162136.77355,0.0,57,0,3,135113.97796,0,12,1,1,0,2,0,1,0,0,1
4,4,162136.77355,0.0,57,0,3,135113.97796,0,12,1,1,0,2,0,1,0,0,1
4,4,162136.77355,0.0,57,0,3,135113.97796,0,12,1,1,0,2,0,1,0,0,1
4,4,162136.77355,0.0,57,0,3,135113.97796,0,12,1,1,0,2,0,1,0,0,1
2,4,0.0,0.0,39,0,2,64854.709419,1,12,2,2,0,1,0,0,0,0,0
2,4,0.0,0.0,39,0,2,64854.709419,1,12,2,2,0,1,0,0,0,0,0
2,4,0.0,0.0,39,0,2,64854.709419,1,12,2,2,0,1,0,0,0,0,0
2,4,0.0,0.0,39,0,2,64854.709419,1,12,2,2,0,1,0,0,0,0,0
2,4,0.0,0.0,39,0,2,64854.709419,1,12,2,2,0,1,0,0,0,0,0
1,2,0.0,2053.7324649,25,0,2,61611.973948,0,8,1,1,0,1,0,0,0,1,0
1,2,0.0,2053.7324649,25,0,2,56207.41483,0,8,1,1,0,1,0,0,0,1,0
1,2,0.0,2053.7324649,25,0,2,101605.71142,0,8,1,1,0,1,0,0,0,1,0
1,2,0.0,2161.8236473,25,0,2,57288.326653,0,8,1,1,0,1,0,0,0,1,0
1,2,0.0,2053.7324649,25,0,2,33508.266533,0,8,1,1,0,1,0,0,0,1,0
3,3,0.0,0.0,54,0,3,75663.827655,0,9,2,2,2,1,0,0,0,0,0
3,3,0.0,0.0,54,0,3,75663.827655,0,9,2,2,2,1,0,0,0,0,0
3,3,0.0,0.0,54,0,3,75663.827655,0,9,2,2,2,1,0,0,0,0,0
3,3,0.0,0.0,54,0,3,75663.827655,0,9,2,2,2,1,0,0,0,0,0
3,3,0.0,0.0,54,0,3,75663.827655,0,9,2,2,2,1,0,0,0,0,0
4,3,0.0,0.0,58,0,2,64854.709419,0,9,1,1,1,3,0,0,0,0,0
4,3,0.0,0.0,58,0,2,64854.709419,0,9,1,1,1,3,0,0,0,0,0
4,3,0.0,0.0,58,0,2,64854.709419,0,9,1,1,1,3,0,0,0,0,0
4,3,0.0,0.0,58,0,2,64854.709419,0,9,1,1,1,3,0,0,0,0,0
4,3,0.0,0.0,58,0,2,64854.709419,0,9,1,1,1,3,0,0,0,0,0
1,2,0.0,0.0,34,0,3,6485.4709419,0,8,1,2,0,1,0,0,0,0,1
1,2,0.0,0.0,34,0,3,6485.4709419,0,8,1,2,0,1,0,0,0,0,1
1,2,0.0,0.0,34,0,3,6485.4709419,0,8,1,2,0,1,0,0,0,0,1
1,2,0.0,0.0,34,0,3,6485.4709419,0,8,1,2,0,1,0,0,0,0,1
1,2,0.0,0.0,34,0,3,6485.4709419,0,8,1,2,0,1,0,0,0,0,1
4,4,0.0,0.0,63,0,3,136194.88978,0,13,2,2,0,1,0,0,0,0,0
